cmm_id,bio,comments
160535,0,CNS stimulant
153606,0,CNS stimulant
17154,0,Flavonoid derivative
16896,0,Flavonoid derivative
82594,0,A chemical extract from an insect
155113,0,Triterpinoid alkaloid
66673,0,Found in green vegitables
42866,0,A semisynthetic centrally acing caugh suppresent
87532,0,A semisynthetic centrally acing caugh suppresent
123153,0,A semisynthetic centrally acing caugh suppresent
152589,0,An isoquinoline alkaloi
38892,0,Synthetic steroid
150680,0,An azamacrocycle alkaloid
158226,0,A synthetic drug
157984,0,A tetrapeptide hydroxamate  bacterial metabolite
163237,0,A phenanthrenoid found in the high altitude Himalayan orchid 
142153,1,A coenzyme
180466,1,A coenzyme
180464,1,A coenzyme
180481,1,A coenzyme
155160,1,A coenzyme
152456,1,A coenzyme
156937,1,A coenzyme
160202,1,A coenzyme
155071,1,A coenzyme
157229,1,A coenzyme
161391,1,A coenzyme
152280,1,A coenzyme
1149,1,A coenzyme
1151,1,A coenzyme
1150,1,A coenzyme
1153,1,A coenzyme
1152,1,A coenzyme
149259,1, A diterpene glycosides.  Found in the sytoplasm
117564,0,A coffee product
55190,1,Located on the cell membrane
150132,0,Anticancer drug
58791,1,Located on the cell membrane
76117,1,Located on the cell membrane
66010,1,Located on the cell membrane
81938,1,Located on the cell membrane
132108,0,A onstituent of hops
95981,0,Plant extract of pumpkin cucurbita 
156270,1,Oil component
116397,0,Plant extract 
75639,0,Plant extract 
174834,0,Drug to treat gout
80373,0,Drug to treat gout
162032,0,Drug to treat gout
151444,0,A muscle relaxant
150546,0,A muscle relaxant
548,0,A muscle relaxant
91902,0,Lower blood cholesterol levl
155108,0,Lower blood cholesterol levl
133263,0,Antibacterial agent
180580,0,Antibacterial agent
84689,1,Found on the cell membrane
152373,0,Antibacterial agent
157969,0,A detergent
156628,1,Human meta
160818,1,Human meta
39268,1,Located in the cytoplasm
121915,1,Located in the cytoplasm
82876,0,A constituent of Collybia confluens 
32990,0,ound in alcoholic beverage
32991,0,ound in alcoholic beverage
152818,0,Plant product
151827,0,A triterpenoid
134936,0,A  steroid acid from plant
163066,0,A  steroid acid from plant
153691,0,A  steroid acid from plant
122845,0,Plant extract
161381,0,Plant extract
26399,0,Plant extract
148591,0,Plant extract
94792,0,Plant extract
140457,0,Plant extract
126923,0,Plant extract
108934,0,Plant extract
152951,0,Plant extract
15498,0,Plant extract
152364,1,Human metabolite
165729,1,Human metabolite
73631,0,Plant extract
159710,0,Plant extract
163256,0,Plant extract
152415,1,Drug target
159827,1,Drug target
152278,1,Drug target
158284,1,Drug target
150864,1,Drug target
152263,1,Drug target
16974,0,Plant extract
154556,1,Modified peptide
153942,0,An antibiotic 
152311,0,A sesquiterpene lactone.
150899,0,A sesquiterpene lactone.
156794,0,Plant extract
158370,0,Plant extract
153075,0,Plant extract
154695,0,Plant extract
152419,0,Anticancer drug
161243,0,Anticancer drug
154976,0,A steroid alkaloid
68401,0,Plant extract
156961,0,Plant extract
160076,0,Plant extract
161373,0,Plant extract
16543,0,Plant extract
100174,1,Triterpene Saponine found in the cytoplasm
93738,1,Triterpene Saponine found in the cytoplasm
120338,1,Triterpene Saponine found in the cytoplasm
145966,1,Triterpene Saponine found in the cytoplasm
105512,1,Triterpene Saponine found in the cytoplasm
90305,0,Found in green vegitables
126808,0,Found in green vegitables
162195,0,Plant extract
157258,0,A poisonous alkaloid 
125538,1,A product from L-proline and monosaccharides
38941,0,A marine natural ligand
38943,0,A marine natural ligand
38944,0,A marine natural ligand
38945,0,A marine natural ligand
52559,0,A food additive
112260,0,A food additive
26019,0,A food additive
157773,1,Glycolipid
157500,0,A synthetic phenolate
101367,0,A synthetic phenolate
152579,0,A synthetic phenolate
159122,0,A synthetic phenolate
154351,0,Poisonous alkaloid
94291,0,"Anon-peptide inhibitor of the receptor for anti-diuretic hormone, also called vasopressin"
158269,0,Plant extract
176819,0,A drug
158381,0,A marine drug
150080,0,A marine drug
39217,0,A triterpinoid
39218,0,A triterpinoid
39232,0,A triterpinoid
158857,0,A triterpinoid
72376,0,Steroid saponine
151035,0,Steroid saponine
151172,0,Plant extract
39318,0,Plant extract
90025,0,A constituent of seeds 
156428,0,A constituent of seeds 
163248,0,A glycoside
151803,0,A glycoside
159144,0,A methoxy benzoic acid alkaloid
157990,0,A methoxy benzoic acid alkaloid
26725,0,A methoxy benzoic acid alkaloid
15981,0,Flavonoid derivative
155662,1,Human metaboliye
146831,1,Human metaboliye
162160,0,A diarylheptanoid
523,1,An enzyme
126506,0,An element
157053,0,A sugar 
157408,0,insoluble slat
160056,0,soluble salt
151962,0,An ion
160266,0,
165594,1,Found in biological fluids
77302,1,Found in biological fluids
99424,1,Found in biological fluids
116659,1,Found in biological fluids
